code,resl,logKa,Kd,Ki
4llx,1.75,2.89,,1300uM
5c28,1.56,5.66,,2.2uM
3uuo,2.11,7.96,,11nM
3ui7,2.28,9,,1nM
5c2h,2.09,11.09,,8.2pM
2v00,1.55,3.66,0.22mM,
3wz8,1.45,5.82,,1.5uM
3pww,1.22,7.32,,48nM
3prs,1.38,7.82,,15nM
3uri,2.1,9,,1nM
4m0z,2,5.19,6.4uM,
4m0y,1.7,6.46,0.35uM,
3qgy,2.1,7.8,,16nM
4qd6,2.45,8.64,,2.3nM
4rfm,2.1,10.05,,90pM
4cr9,1.7,4.1,,80uM
4cra,1.8,7.22,,0.06uM
4x6p,1.93,8.3,,5nM
4crc,1.6,8.72,,0.0019uM
4ty7,2.09,9.52,,0.3nM
5aba,1.62,2.98,1040uM,
5a7b,1.4,3.57,271uM,
4agn,1.6,3.97,107uM,
4agp,1.5,4.69,20.6uM,
4agq,1.42,5.01,9.7uM,
3bgz,2.4,6.26,,0.55uM
3jya,2.1,6.89,,0.1301uM
2c3i,1.9,7.6,25nM,
4k18,2.05,8.96,,1.1nM
5dwr,2,11.22,,6pM
3mss,1.95,4.66,22uM,
3k5v,1.74,6.3,0.5uM,
3pyy,1.85,6.86,137nM,
2v7a,2.5,8.3,0.005uM,
4twp,2.4,10,,100pM
3wtj,2.24,6.53,0.297uM,
3zdg,2.48,7.1,,79nM
3u8k,2.47,8.66,,2.2nM
4qac,2.1,9.4,0.4nM,
3u8n,2.35,10.17,,0.067nM
1a30,2,4.3,,50uM
2qnq,2.3,6.11,,0.77uM
1g2k,1.95,7.96,,11nM
1eby,2.29,9.7,,0.20nM
3o9i,1.45,11.82,,1.5pM
4lzs,2.2,4.8,16uM,
3u5j,1.6,5.61,2.46uM,
4wiv,1.56,6.26,550nM,
4ogj,1.65,6.79,164nM,
3p5o,1.6,7.3,50.5nM,
1ps3,1.8,2.28,,5.2mM
3dx1,1.21,3.58,,265uM
3d4z,1.39,4.89,,13uM
3dx2,1.4,6.82,,150nM
3ejr,1.27,8.57,,2.7nM
3l7b,2,2.4,,4.01mM
4eky,2.45,3.52,,303.0uM
3g2n,2.1,4.09,,81uM
3syr,2.4,5.1,,7.9uM
3ebp,2,5.91,,1.24uM
2w66,2.27,4.05,,89uM
2w4x,2.42,4.85,14uM,
2wca,2.3,5.6,,2.5uM
2xj7,2,6.66,,220nM
2vvn,1.85,7.3,50nM,
3aru,1.9,3.22,600uM,
3arv,1.5,5.64,2.3uM,
3ary,1.35,6,1.0uM,
3arq,1.5,6.4,0.4uM,
3arp,1.55,7.15,0.07uM,
4ih5,1.9,4.11,78uM,
4ih7,2.3,5.24,5.8uM,
3cj4,2.07,6.51,0.31uM,
4eo8,1.8,8.15,7nM,
3gnw,2.39,9.1,0.79nM,
1gpk,2.1,5.37,,4.3uM
1gpn,2.35,6.48,,0.334uM
1h23,2.15,8.35,,4.5nM
1h22,2.15,9.1,,0.8nM
1.00E+66,2.1,9.89,,0.13nM
3f3a,2,4.19,,64.8uM
3f3c,2.1,6.02,,950nM
4mme,2.5,6.5,318nM,
3f3d,2.3,7.16,69nM,
3f3e,1.8,7.7,20nM,
2wbg,1.85,4.45,,35.2uM
2cbv,1.95,5.48,3.3uM,
2j78,1.65,6.42,384nM,
2j7h,1.95,7.19,65nM,
2cet,1.97,8.02,9.6nM,
3udh,1.7,2.85,1.4mM,
3rsx,2.48,4.41,38.8uM,
4djv,1.73,6.72,,0.19uM
2vkm,2.05,8.74,,1.8nM
4gid,2,10.77,,0.017nM
4jfs,2,5.27,,5.4uM
4j28,1.73,5.7,,2.0uM
2wvt,1.8,6.12,755nM,
2xii,1.8,7.2,63.3nM,
4pcs,1.77,7.85,,14nM
3rr4,1.68,4.55,,28.05uM
1s38,1.81,5.15,,7.0uM
1r5y,1.2,6.46,,0.35uM
3gc5,1.4,7.26,,55nM
3ge7,1.5,8.7,,2nM
4dli,1.91,5.62,2.40uM,
2zb1,2.5,6.32,0.48uM,
4f9w,2,6.94,,114nM
3.00E+92,2,8,,10nM
3.00E+93,2,8.85,,1.4nM
4owm,1.99,2.96,,1090uM
3twp,1.83,3.92,,119uM
3r88,1.73,4.82,,15uM
4gkm,1.67,5.17,,6.8uM
3qqs,1.97,5.82,,1.5uM
3gv9,1.8,2.12,,7.5mM
3gr2,1.8,2.52,,3mM
4kz6,1.68,3.1,,0.8mM
4jxs,1.9,4.74,,18uM
2r9w,1.8,5.1,,8uM
2hb1,2,3.8,,160uM
1bzc,2.35,4.92,,12uM
2qbr,2.3,6.33,,0.47uM
2qbq,2.1,7.44,,0.036uM
2qbp,2.5,8.4,,0.004uM
1q8t,2,4.76,17.5uM,
1ydr,2.2,5.52,,3.0uM
1q8u,1.9,5.96,1.1uM,
1ydt,2.3,7.32,,48nM
3ag9,2,8.05,,9nM
3fcq,1.75,2.77,,1.7mM
1z9g,1.7,5.64,,2.3uM
1qf1,2,7.32,,48nM
5tmn,1.6,8.04,,9.1nM
4tmn,1.7,10.17,,0.068nM
4ddk,1.75,2.29,5.13mM,
4ddh,2.07,3.32,0.48mM,
3ivg,1.95,4.3,50uM,
3coz,2,5.57,2.7uM,
3coy,2.03,6.02,0.96uM,
3pxf,1.8,4.43,37uM,
4eor,2.2,6.3,,500nM
2xnb,1.85,6.83,,149nM
1pxn,2.5,7.15,,0.07uM
2fvd,1.85,8.52,,3nM
4k77,2.4,6.63,,235nM
4e5w,1.86,7.66,,22nM
4ivb,1.9,8.72,,1.9nM
4ivd,1.93,9.52,,0.3nM
4ivc,2.35,10,,0.1nM
4f09,2.4,6.7,,200nM
4gfm,2.3,7.22,,0.06uM
4hge,2.3,7.92,,11.9nM
4e6q,1.95,8.36,,4.4nM
4jia,1.85,9.22,,0.6nM
